GEO_ID,NAME,S1501_C01_021E
0500000US12001,Alachua County,13522
0500000US12003,Baker County,505
0500000US12005,Bay County,5839
0500000US12007,Bradford County,229
0500000US12009,Brevard County,19253
0500000US12011,Broward County,93152
0500000US12013,Calhoun County,180
0500000US12015,Charlotte County,2517
0500000US12017,Citrus County,1869
0500000US12019,Clay County,7939
0500000US12021,Collier County,10012
0500000US12023,Columbia County,1267
0500000US12027,DeSoto County,295
0500000US12029,Dixie County,89
0500000US12031,Duval County,38162
0500000US12033,Escambia County,9458
0500000US12035,Flagler County,2240
0500000US12037,Franklin County,135
0500000US12039,Gadsden County,849
0500000US12041,Gilchrist County,280
0500000US12043,Glades County,167
0500000US12045,Gulf County,350
0500000US12047,Hamilton County,76
0500000US12049,Hardee County,233
0500000US12051,Hendry County,323
0500000US12053,Hernando County,3625
0500000US12055,Highlands County,1643
0500000US12057,Hillsborough County,70263
0500000US12059,Holmes County,262
0500000US12061,Indian River County,3633
0500000US12063,Jackson County,818
0500000US12065,Jefferson County,307
0500000US12067,Lafayette County,278
0500000US12069,Lake County,9309
0500000US12071,Lee County,18633
0500000US12073,Leon County,14250
0500000US12075,Levy County,634
0500000US12077,Liberty County,114
0500000US12079,Madison County,293
0500000US12081,Manatee County,11367
0500000US12083,Marion County,6501
0500000US12085,Martin County,4548
0500000US12086,Miami-Dade County,126065
0500000US12087,Monroe County,2975
0500000US12089,Nassau County,3003
0500000US12091,Okaloosa County,7125
0500000US12093,Okeechobee County,690
0500000US12095,Orange County,68456
0500000US12097,Osceola County,11091
0500000US12099,Palm Beach County,59703
0500000US12101,Pasco County,18889
0500000US12103,Pinellas County,36403
0500000US12105,Polk County,17136
0500000US12107,Putnam County,692
0500000US12109,St. Johns County,16301
0500000US12111,St. Lucie County,6509
0500000US12113,Santa Rosa County,6842
0500000US12115,Sarasota County,12134
0500000US12117,Seminole County,26384
0500000US12119,Sumter County,938
0500000US12121,Suwannee County,802
0500000US12123,Taylor County,245
0500000US12125,Union County,182
0500000US12127,Volusia County,14303
0500000US12129,Wakulla County,1193
0500000US12131,Walton County,2251
0500000US12133,Washington County,375